YEAR,ORISPL,PNAME,PSTATABB,PLPRMFL,PLHTIAN,PLNGENAN,NAMEPCAP,CAPFAC,PLCO2AN
2018,7203,South Fond Du Lac,WI,NG,1060891,63285,381.6,0.01893,63058.3
2018,7212,Darbytown Combustion Turbine,VA,NG,1061810,85266,368.4,0.02642,72567.1
2018,7231,Gianera,CA,NG,117278,8019,64.6,0.01417,6854.258
2018,7232,Santa Clara Cogen,CA,NG,412024.652,45419,7.8,0.66472,24080.586
2018,7237,Angus Anson,SD,NG,1475855,120297.001,405.7,0.03385,88028.4
2018,7238,Cane Island,FL,NG,21818812,3016506,735.5,0.46818,1296662.2
2018,7242,Polk,FL,NG,55919861,8230074,3351.3,0.28034,3658443.9
2018,7254,Reedy Creek,FL,NG,2737,0,70,0,163
2018,7258,48th Street Peaking Station,MI,NG,594638,50703,161.7,0.03579,35338.8
2018,7266,Woodland Generation Station,CA,NG,3747571,515019.002,199,0.29544,222696.8
2018,7270,Paris,WI,NG,1287312,89686,381.6,0.02683,77128.9
2018,7281,Gardner Energy Center,KS,NG,636,35,39.2,0.0001,37.17
2018,7283,Paragould Turbine,AR,NG,651,47,13.9,0.00039,38.048
2018,7296,State Line (MO),MO,NG,19315902,2676937,690.5,0.44256,1147916.7
2018,7302,Hines Energy Complex,FL,NG,93226403,13368185,3268,0.46697,5540336.6
2018,7307,Redding Power Plant,CA,NG,2040969,244990,183.1,0.15274,121293.7
2018,7314,Richard M Flynn (Holtsville),NY,NG,5374166,645840,164,0.44955,324616.9
2018,7315,Almond Power Plant,CA,NG,1765606,169771.001,223.5,0.08671,104926.7
2018,7325,San Jacinto Steam Electric Station,TX,NG,14615126,1063319,176.4,0.68811,868644
2018,7335,Richmond (IN),IN,NG,188785,14825,82.8,0.02044,11220.1
2018,7336,Anderson,IN,NG,144462,7093.999,168.7,0.0048,8596.1
2018,7339,Wellington 2,KS,NG,28717,1810,20,0.01033,1678.352
2018,7345,University of Florida,FL,NG,2852452,331594,54.2,0.6984,169518.8
2018,7348,Robins,GA,NG,420323,29263,183.8,0.01817,26365.6
2018,7350,Coyote Springs,OR,NG,18023778.026,1409054,266.3,0.60402,1071132.167
2018,7380,Midulla Generating Station,FL,NG,27609052,3637057,1452,0.28594,1640786.3
2018,7397,Falling Spring,PA,NG,17698,1737,7.2,0.02754,1034.352
2018,7398,Water Street Station,MI,NG,7730,781,12.6,0.00708,451.776
2018,7399,Henry Station,MI,NG,12287,1312,15.4,0.00973,718.108
2018,7408,Payson,UT,NG,229.999,4,9.7,5e-05,13.442
2018,7425,Interstate,IL,NG,333786,30355,138.6,0.025,19848.6
2018,7447,Pratt 2,KS,NG,4385,502,16,0.00358,256.28
2018,7449,NCPA Combustion Turbine Project #2,CA,NG,102050,11838,50,0.02703,6065.3
2018,7450,Alameda,CA,NG,143953,9563,54.8,0.01992,8413.266
2018,7451,Lodi,CA,NG,56217,3492,27.4,0.01455,3285.576
2018,7452,Roseville,CA,NG,45029,2955,54.8,0.00616,2631.698
2018,7456,Rathdrum Combustion Turbine Project,ID,NG,1462846,145074,166.4,0.09952,86935.4
2018,7480,Rowesville Rd Plant,SC,NG,1642,13,19.2,8e-05,95.966
2018,7515,McPherson Municipal Power Plant #3,KS,NG,167541,13016,115.6,0.01285,9966
2018,7527,Carson Cogeneration,CA,NG,2840319.343,368117,125.5,0.33484,163495.96
2018,7538,Wayne County,NC,NG,5298105,458014.001,979.7,0.05337,309645.252
2018,7551,SCA Cogen II,CA,NG,5210397.956,775384,193.4,0.45767,309641.561
2018,7552,Sacramento Power Authority Cogen,CA,NG,6120630.132,758363,173.9,0.49782,363739.832
2018,7555,Nebraska City # 2,NE,NG,495,-783,13.5,0,32.76
2018,7595,Red Cedar,IA,NG,0,-566,22.5,0,0
2018,7604,St. Francis Power Plant,MO,NG,5970686,778242,506.6,0.17537,354829.2
2018,7605,River Road,WA,NG,8787590,1192592,248,0.54895,522234.5
2018,7693,Anaheim Combustion Turbine,CA,NG,350281,38770,49.2,0.08996,20814.8
2018,7697,Washington County Cogen (Olin),AL,NG,5329090.025,809934,122.5,0.75476,316699.823
2018,7698,SABIC Innovative Plastics - Burkville,AL,NG,2603564.093,571146,97,0.67216,154728.485
2018,7699,Tiger Bay,FL,NG,8603025,1212922,278.1,0.49788,511264.8
2018,7710,Plant H. Allen Franklin,AL,NG,84456218,12248562,2683.8,0.52099,5019107.1
2018,7715,Pea Ridge,FL,NG,1471265.001,77979.999,14.1,0.63134,85987.389
2018,7721,Theodore Cogeneration,AL,NG,8211522.842,1325015,317.4,0.47655,487998.349
2018,7749,Essex Power Plant,MO,NG,405620,33318,229.2,0.01659,24104.9
2018,7754,Nodaway Power Plant,MO,NG,129486,10988,315.6,0.00397,7695.4
2018,7757,Chouteau Power Plant,OK,NG,41354751,5684867,1069.6,0.60673,2457660.3
2018,7759,Georgetown Substation,IN,NG,2977862,127147,340,0.04269,176968.9
2018,7760,Tilton Power Station,IL,NG,913371,85300,188,0.05179,54279.9
2018,7762,Calpine Hidalgo Energy Center,TX,NG,14049873,1968953,551.3,0.4077,834967
2018,7763,Henry County Generating Station,IN,NG,3097210,284886,181.5,0.17918,184061.9
2018,7764,MPC Generating,GA,NG,214986,18529,386.1,0.00548,13877.1
2018,7765,Dahlberg (Jackson County),GA,NG,5183857,410888,919,0.05104,319597
2018,7768,Sowega Power Project,GA,NG,933182,94751,99.6,0.1086,56042.5
2018,7770,1515 S Caron Road,IL,NG,3912,272,4.2,0.00739,228.635
2018,7782,Omega JV2 Hamilton,OH,NG,32148,2733,32,0.00975,1897
2018,7783,Omega JV2 Bowling Green,OH,NG,23949,3592,32,0.01281,1412.2
2018,7795,Custer Energy Center,WI,NG,26415,1642,24.5,0.00765,1543.812
2018,7805,Richmond County Plant,NC,NG,96753494,11895681,2244.8,0.60493,5765011.1
2018,7813,Sewell Creek Energy,GA,NG,6318751,547294,570,0.10961,375515.5
2018,7818,Alsey Station,IL,NG,204654,21066.002,173,0.0139,12123.392
2018,7824,Rockwood,CA,NG,15997,1092,49.8,0.0025,1120.649
2018,7825,Fulton,AR,NG,1068286,103733,154.8,0.0765,63487.1
2018,7826,Plant Rowan County,NC,NG,34354747,4693044.001,1192,0.44944,2044495
2018,7829,Smarr Energy Facility,GA,NG,3090129,234699,242,0.11071,183643.9
2018,7834,John S. Rainey Generating Station,SC,NG,41885748,5099119.998,1632,0.35667,2488357.9
